id,Date,Replicate,totaltime,totaltimehr,Video,timestamp,real_time,Species,Bites,Treatment,Notes
14,4/25/25,1,5864,0.977333333,101320,115,10:14:35,Thalassoma hardwicke,1,Turb,
15,4/25/25,1,5864,0.977333333,101320,117,10:14:37,Thalassoma hardwicke,1,Turb,
16,4/25/25,1,5864,0.977333333,101320,247,10:16:07,Thalassoma hardwicke,2,Turb,
17,4/25/25,1,5864,0.977333333,101320,300,10:16:20,Thalassoma hardwicke,2,Turb,
18,4/25/25,1,5864,0.977333333,101320,926,10:22:46,Thalassoma hardwicke,1,Turb,
19,4/25/25,1,5864,0.977333333,101320,942,10:23:02,Thalassoma hardwicke,2,Turb,
29,4/25/25,1,5864,0.977333333,102650,NA,10:26:50,,0,Turb,
56,4/25/25,1,5864,0.977333333,104021,0,10:40:21,,0,Turb,"redlip juvie, turf in zone"
74,4/25/25,1,5864,0.977333333,105353,318,10:57:11,Zebrasoma scopas,3,Turb,
117,4/25/25,1,5864,0.977333333,110724,27,11:07:51,Zebrasoma scopas,7,Turb,
118,4/25/25,1,5864,0.977333333,110724,103,11:08:27,Zebrasoma scopas,2,Turb,
13,4/25/25,2,6051,1.0085,101140,733,10:19:13,Thalassoma hardwicke,4,Turb,
28,4/25/25,2,6051,1.0085,102511,800,10:33:11,Thalassoma hardwicke,1,Turb,
52,4/25/25,2,6051,1.0085,103842,700,10:45:42,Juvenile parrotfish,2,Turb,
53,4/25/25,2,6051,1.0085,103842,1111,10:49:53,Thalassoma hardwicke,1,Turb,
54,4/25/25,2,6051,1.0085,103842,648,10:45:30,Thalassoma hardwicke,1,Turb,
55,4/25/25,2,6051,1.0085,103842,709,10:45:51,Juvenile parrotfish,1,Turb,"redlip juvie, turf in zone"
72,4/25/25,2,6051,1.0085,105213,242,10:54:55,Ctenochaetus striatus,6,Turb,
73,4/25/25,2,6051,1.0085,105213,729,10:59:42,Thalassoma hardwicke,3,Turb,
116,4/25/25,2,6051,1.0085,110543,0,11:05:43,,0,Turb,
4,4/25/25,3,6319,1.053166667,100957,448,10:14:45,Ctenochaetus striatus,6,Turf,
5,4/25/25,3,6319,1.053166667,100957,818,10:18:15,Ctenochaetus striatus,5,Turf,
6,4/25/25,3,6319,1.053166667,100957,1009,10:20:06,Ctenochaetus striatus,11,Turf,
7,4/25/25,3,6319,1.053166667,100957,1146,10:21:43,Juvenile parrotfish,16,Turf,
8,4/25/25,3,6319,1.053166667,100957,1146,10:21:43,Juvenile parrotfish,10,Turf,
9,4/25/25,3,6319,1.053166667,100957,1146,10:21:43,Juvenile parrotfish,6,Turf,
10,4/25/25,3,6319,1.053166667,100957,1154,10:21:51,Juvenile parrotfish,5,Turf,
11,4/25/25,3,6319,1.053166667,100957,1154,10:21:51,Juvenile parrotfish,3,Turf,
12,4/25/25,3,6319,1.053166667,100957,1154,10:21:51,Juvenile parrotfish,14,Turf,
49,4/25/25,3,6319,1.053166667,103659,417,10:41:16,Ctenochaetus striatus,8,Turf,
50,4/25/25,3,6319,1.053166667,103659,451,10:41:50,Ctenochaetus striatus,5,Turf,
51,4/25/25,3,6319,1.053166667,103659,830,10:45:29,Ctenochaetus striatus,1,Turf,
64,4/25/25,3,6319,1.053166667,105030,113,10:51:43,Ctenochaetus striatus,3,Turf,
65,4/25/25,3,6319,1.053166667,105030,253,10:53:23,Acanthurus nigrofuscus,5,Turf,
66,4/25/25,3,6319,1.053166667,105030,626,10:56:56,Ctenochaetus striatus,6,Turf,
67,4/25/25,3,6319,1.053166667,105030,701,10:57:31,Ctenochaetus striatus,4,Turf,
68,4/25/25,3,6319,1.053166667,105030,702,10:57:32,Ctenochaetus striatus,9,Turf,
69,4/25/25,3,6319,1.053166667,105030,914,10:59:44,Acanthurus nigrofuscus,12,Turf,
70,4/25/25,3,6319,1.053166667,105030,932,11:00:02,Acanthurus nigrofuscus,3,Turf,
71,4/25/25,3,6319,1.053166667,105030,1214,11:02:44,Acanthurus nigrofuscus,12,Turf,
99,4/25/25,3,6319,1.053166667,110400,0,11:04:00,Ctenochaetus striatus,9,Turf,
100,4/25/25,3,6319,1.053166667,110400,51,11:04:51,Acanthurus nigrofuscus,2,Turf,
101,4/25/25,3,6319,1.053166667,110400,149,11:05:49,Acanthurus nigrofuscus,7,Turf,
102,4/25/25,3,6319,1.053166667,110400,420,11:08:20,Acanthurus nigrofuscus,8,Turf,
103,4/25/25,3,6319,1.053166667,110400,429,11:08:29,Juvenile parrotfish,56,Turf,
104,4/25/25,3,6319,1.053166667,110400,430,11:08:30,Juvenile parrotfish,37,Turf,
105,4/25/25,3,6319,1.053166667,110400,432,11:08:32,Juvenile parrotfish,18,Turf,
106,4/25/25,3,6319,1.053166667,110400,434,11:08:34,Ctenochaetus striatus,4,Turf,
107,4/25/25,3,6319,1.053166667,110400,444,11:08:44,Juvenile parrotfish,5,Turf,
108,4/25/25,3,6319,1.053166667,110400,509,11:09:09,Juvenile parrotfish,12,Turf,GREY
109,4/25/25,3,6319,1.053166667,110400,509,11:09:09,Juvenile parrotfish,12,Turf,GREY
110,4/25/25,3,6319,1.053166667,110400,509,11:09:09,Juvenile parrotfish,7,Turf,BROWN
111,4/25/25,3,6319,1.053166667,110400,509,11:09:09,Juvenile parrotfish,5,Turf,brown
112,4/25/25,3,6319,1.053166667,110400,520,11:09:20,Ctenochaetus striatus,2,Turf,
113,4/25/25,3,6319,1.053166667,110400,532,11:09:32,Acanthurus nigrofuscus,3,Turf,
114,4/25/25,3,6319,1.053166667,110400,530,11:09:30,Ctenochaetus striatus,8,Turf,
115,4/25/25,3,6319,1.053166667,110400,850,11:12:50,Ctenochaetus striatus,5,Turf,
1,4/25/25,4,6644,1.107333333,100525,909,10:14:34,Ctenochaetus striatus,33,Turf,
2,4/25/25,4,6644,1.107333333,100525,1131,10:16:56,Chlorurus sordidus,8,Turf,
3,4/25/25,4,6644,1.107333333,100525,1210,10:17:35,Ctenochaetus striatus,18,Turf,
20,4/25/25,4,6644,1.107333333,101856,112,10:20:08,Ctenochaetus striatus,11,Turf,
